Date	Time	Chan	kp	kd	ki	ep	ed	ei	effort	temp	average	target	i2c	hist	freq	enabled	sensor
01/05/2023	14:39:51	C0	 1.00	 1.00	 1.00	  359.8	 6747.7	  100.0	  100.0	 26.406C	 26.402C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:40:22	C0	 1.00	 1.00	 1.00	  298.1	  -71.4	  100.0	  100.0	 27.031C	 27.021C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:40:53	C0	 1.00	 1.00	 1.00	  255.8	  -45.1	  100.0	  100.0	 27.445C	 27.447C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:41:24	C0	 1.00	 1.00	 1.00	  226.8	  -31.9	  100.0	  100.0	 27.727C	 27.732C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:41:55	C0	 1.00	 1.00	 1.00	  202.4	  -34.7	  100.0	  100.0	 27.977C	 27.977C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:42:26	C0	 1.00	 1.00	 1.00	  181.7	  -21.6	  100.0	  100.0	 28.195C	 28.186C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:42:57	C0	 1.00	 1.00	 1.00	  162.0	  -23.5	  100.0	  100.0	 28.383C	 28.380C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:43:28	C0	 1.00	 1.00	 1.00	  143.8	  -24.4	  100.0	  100.0	 28.555C	 28.562C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:43:59	C0	 1.00	 1.00	 1.00	  126.3	  -21.6	  100.0	  100.0	 28.750C	 28.739C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:44:30	C0	 1.00	 1.00	 1.00	  109.8	  -17.8	  100.0	  100.0	 28.906C	 28.903C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:45:01	C0	 1.00	 1.00	 1.00	   95.0	  -19.7	  100.0	  100.0	 29.055C	 29.051C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:45:32	C0	 1.00	 1.00	 1.00	   80.7	  -25.4	  100.0	  100.0	 29.195C	 29.195C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:46:03	C0	 1.00	 1.00	 1.00	   63.8	  -17.8	  100.0	  100.0	 29.367C	 29.363C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:46:34	C0	 1.00	 1.00	 1.00	   47.2	  -16.9	  100.0	  100.0	 29.531C	 29.529C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:47:05	C0	 1.00	 1.00	 1.00	   32.1	  -16.9	  100.0	  100.0	 29.680C	 29.681C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:47:36	C0	 1.00	 1.00	 1.00	   17.9	  -13.1	  100.0	  100.0	 29.828C	 29.822C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:48:07	C0	 1.00	 1.00	 1.00	    5.4	  -15.0	  100.0	   90.3	 29.945C	 29.946C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:48:38	C0	 1.00	 1.00	 1.00	    4.3	   -3.8	   72.8	   73.4	 29.953C	 29.955C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:49:09	C0	 1.00	 1.00	 1.00	    3.9	   -2.8	   65.0	   66.1	 29.961C	 29.961C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:49:40	C0	 1.00	 1.00	 1.00	    3.8	    4.7	   62.0	   70.5	 29.969C	 29.962C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:50:11	C0	 1.00	 1.00	 1.00	    3.9	    2.8	   59.6	   66.3	 29.969C	 29.963C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:50:42	C0	 1.00	 1.00	 1.00	    3.8	    0.0	   56.6	   60.4	 29.961C	 29.961C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:51:13	C0	 1.00	 1.00	 1.00	    3.3	   -0.9	   53.4	   55.8	 29.961C	 29.966C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:51:44	C0	 1.00	 1.00	 1.00	    3.1	    4.7	   51.7	   59.5	 29.969C	 29.969C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:52:15	C0	 1.00	 1.00	 1.00	    3.1	   -3.8	   50.6	   50.0	 29.977C	 29.970C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:52:46	C0	 1.00	 1.00	 1.00	    3.4	   -1.9	   49.9	   51.3	 29.969C	 29.966C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:53:17	C0	 1.00	 1.00	 1.00	    3.1	    0.9	   49.3	   53.3	 29.969C	 29.969C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:53:48	C0	 1.00	 1.00	 1.00	    3.0	   -0.9	   49.0	   51.1	 29.969C	 29.970C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:54:19	C0	 1.00	 1.00	 1.00	    3.0	    1.9	   47.8	   52.7	 29.969C	 29.971C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:54:50	C0	 1.00	 1.00	 1.00	    3.0	    3.8	   47.1	   53.9	 29.977C	 29.970C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:55:21	C0	 1.00	 1.00	 1.00	    3.0	   -1.9	   45.5	   46.6	 29.969C	 29.970C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:55:52	C0	 1.00	 1.00	 1.00	    2.9	    0.0	   47.3	   50.2	 29.969C	 29.971C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:56:23	C0	 1.00	 1.00	 1.00	    2.4	   -7.5	   56.2	   51.2	 29.977C	 29.976C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:56:54	C0	 1.00	 1.00	 1.00	    3.2	   -0.9	   50.0	   52.3	 29.969C	 29.969C	 30.000C	00	016	0200	ENABLED 	OK
