Date	Time	Chan	kp	kd	ki	ep	ed	ei	effort	temp	average	target	i2c	hist	freq	enabled	sensor
01/05/2023	13:51:30	C0	 1.00	 0.00	 1.00	  244.3	    0.0	  100.0	  100.0	 27.555C	 27.556C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:52:01	C0	 1.00	 0.00	 1.00	  188.0	   -0.0	  100.0	  100.0	 28.133C	 28.123C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:52:32	C0	 1.00	 0.00	 1.00	  151.2	   -0.0	  100.0	  100.0	 28.500C	 28.493C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:53:03	C0	 1.00	 0.00	 1.00	  125.4	   -0.0	  100.0	  100.0	 28.750C	 28.746C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:53:34	C0	 1.00	 0.00	 1.00	  105.1	   -0.0	  100.0	  100.0	 28.953C	 28.951C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:54:05	C0	 1.00	 0.00	 1.00	   88.5	   -0.0	  100.0	  100.0	 29.117C	 29.116C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:54:36	C0	 1.00	 0.00	 1.00	   74.8	   -0.0	  100.0	  100.0	 29.250C	 29.252C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:55:07	C0	 1.00	 0.00	 1.00	   63.2	   -0.0	  100.0	  100.0	 29.375C	 29.371C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:55:39	C0	 1.00	 0.00	 1.00	   49.0	   -0.0	  100.0	  100.0	 29.516C	 29.513C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:56:10	C0	 1.00	 0.00	 1.00	   34.9	   -0.0	  100.0	  100.0	 29.656C	 29.652C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:56:41	C0	 1.00	 0.00	 1.00	   20.9	   -0.0	  100.0	  100.0	 29.789C	 29.792C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:57:12	C0	 1.00	 0.00	 1.00	    8.3	   -0.0	  100.0	  100.0	 29.922C	 29.920C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:57:43	C0	 1.00	 0.00	 1.00	    5.5	   -0.0	  100.0	  100.0	 29.945C	 29.945C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:58:14	C0	 1.00	 0.00	 1.00	    1.8	   -0.0	   68.6	   70.3	 29.984C	 29.983C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:58:45	C0	 1.00	 0.00	 1.00	    1.9	    0.0	   24.0	   25.9	 29.969C	 29.977C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:59:16	C0	 1.00	 0.00	 1.00	    7.4	    0.0	   63.2	   70.7	 29.930C	 29.926C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:59:47	C0	 1.00	 0.00	 1.00	    6.2	   -0.0	  100.0	  100.0	 29.953C	 29.941C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:00:18	C0	 1.00	 0.00	 1.00	    1.0	   -0.0	   75.0	   76.1	 29.992C	 29.992C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:00:49	C0	 1.00	 0.00	 1.00	    0.4	    0.0	   -1.3	    0.0	 29.992C	 29.993C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:01:20	C0	 1.00	 0.00	 1.00	    7.4	    0.0	   37.6	   45.0	 29.922C	 29.924C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:01:51	C0	 1.00	 0.00	 1.00	    6.4	   -0.0	  100.0	  100.0	 29.938C	 29.936C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:02:22	C0	 1.00	 0.00	 1.00	    0.9	   -0.0	   86.7	   87.6	 29.992C	 29.992C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:02:53	C0	 1.00	 0.00	 1.00	   -1.6	    0.0	    2.0	    0.4	 30.016C	 30.016C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:03:24	C0	 1.00	 0.00	 1.00	    5.1	    0.0	    8.5	   13.7	 29.945C	 29.949C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:03:55	C0	 1.00	 0.00	 1.00	    8.6	    0.0	   89.0	   97.6	 29.922C	 29.915C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:04:26	C0	 1.00	 0.00	 1.00	    3.5	   -0.0	  100.0	  100.0	 29.977C	 29.970C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:04:57	C0	 1.00	 0.00	 1.00	   -2.1	   -0.0	   25.8	   23.7	 30.023C	 30.021C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:05:28	C0	 1.00	 0.00	 1.00	    0.8	    0.0	  -19.8	    0.0	 29.984C	 29.989C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	14:05:59	C0	 1.00	 0.00	 1.00	    7.2	    0.0	   37.1	   44.3	 29.922C	 29.925C	 30.000C	00	016	0200	ENABLED 	OK
